# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
18

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,main_wing,0,TBIGCJDBBF,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 2.999999999999999889e-01, 0.000000000000000000e+00, 5.000000000000000278e-02, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,11,33
# x,y,z,u,w
6.000000000000000888e-01, 0.000000000000000000e+00, 5.000000000000000278e-02, 1.000000000000000000e+00, 0.000000000000000000e+00
5.942550563117132700e-01, 0.000000000000000000e+00, 4.914849804699651659e-02, 1.000000000000000000e+00, 4.173311976788848798e-02
5.859953634775235676e-01, 0.000000000000000000e+00, 4.795343410494051078e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
5.743640623466899076e-01, 0.000000000000000000e+00, 4.632722408781533852e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
5.584552708685039946e-01, 0.000000000000000000e+00, 4.420596478945876262e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
5.375422063648669369e-01, 0.000000000000000000e+00, 4.159322492783302377e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
5.114387815121388403e-01, 0.000000000000000000e+00, 3.861797980546545495e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
4.808833973856394550e-01, 0.000000000000000000e+00, 3.557915988260990092e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
4.476911804864319722e-01, 0.000000000000000000e+00, 3.294164366144460010e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
4.144390916608817199e-01, 0.000000000000000000e+00, 3.122887743410329361e-02, 1.000000000000000000e+00, 1.216336609715709338e+00
3.837376552041844580e-01, 0.000000000000000000e+00, 3.082333151635982538e-02, 1.000000000000000000e+00, 1.415838762408753171e+00
3.574868027054375896e-01, 0.000000000000000000e+00, 3.180380231476166719e-02, 1.000000000000000000e+00, 1.586533649582798411e+00
3.365264143098665173e-01, 0.000000000000000000e+00, 3.396076884800906109e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
3.207689675969352949e-01, 0.000000000000000000e+00, 3.697414044791641485e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
3.096181718954114648e-01, 0.000000000000000000e+00, 4.062071547807050848e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
3.025329234660254496e-01, 0.000000000000000000e+00, 4.495508392736080605e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
2.999999999999999889e-01, 0.000000000000000000e+00, 5.000000000000000278e-02, 1.000000000000000000e+00, 2.000000000000000000e+00
3.025329234660253386e-01, 0.000000000000000000e+00, 5.504491607263904684e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
3.096181718954114093e-01, 0.000000000000000000e+00, 5.937928452192940687e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
3.207689675969351839e-01, 0.000000000000000000e+00, 6.302585955208359070e-02, 1.000000000000000000e+00, 2.172260364380927733e+00
3.365264143098662952e-01, 0.000000000000000000e+00, 6.603923115199092364e-02, 1.000000000000000000e+00, 2.276535875536843889e+00
3.574868027054373676e-01, 0.000000000000000000e+00, 6.819619768523832448e-02, 1.000000000000000000e+00, 2.413466350417201589e+00
3.837376552041843469e-01, 0.000000000000000000e+00, 6.917666848364019405e-02, 1.000000000000000000e+00, 2.584161237591246607e+00
4.144390916608816089e-01, 0.000000000000000000e+00, 6.877112256589670847e-02, 1.000000000000000000e+00, 2.783663390284290440e+00
4.476911804864319722e-01, 0.000000000000000000e+00, 6.705835633855540545e-02, 1.000000000000000000e+00, 3.000000000000000000e+00
4.808833973856395660e-01, 0.000000000000000000e+00, 6.442084011739010463e-02, 1.000000000000000000e+00, 3.216336609715709116e+00
5.114387815121389513e-01, 0.000000000000000000e+00, 6.138202019453455754e-02, 1.000000000000000000e+00, 3.415838762408752949e+00
5.375422063648669369e-01, 0.000000000000000000e+00, 5.840677507216698872e-02, 1.000000000000000000e+00, 3.586533649582798411e+00
5.584552708685038835e-01, 0.000000000000000000e+00, 5.579403521054125681e-02, 1.000000000000000000e+00, 3.723464124463156111e+00
5.743640623466894635e-01, 0.000000000000000000e+00, 5.367277591218468091e-02, 1.000000000000000000e+00, 3.827739635619072267e+00
5.859953634775227904e-01, 0.000000000000000000e+00, 5.204656589505949477e-02, 1.000000000000000000e+00, 3.904044169930655173e+00
5.942550563117127149e-01, 0.000000000000000000e+00, 5.085150195300350284e-02, 1.000000000000000000e+00, 3.958266880232111262e+00
6.000000000000000888e-01, 0.000000000000000000e+00, 5.000000000000000278e-02, 1.000000000000000000e+00, 4.000000000000000000e+00
5.870926327369896391e-01, 1.399999999999999509e-02, 5.024437090899505631e-02, 1.199999999999999956e+00, 0.000000000000000000e+00
5.817265156130021486e-01, 1.399999999999999509e-02, 4.940269099671833891e-02, 1.199999999999999956e+00, 4.173311976788848798e-02
5.740109392279871825e-01, 1.399999999999999509e-02, 4.822135077794621749e-02, 1.199999999999999956e+00, 9.595583006934514658e-02
5.631448678290223997e-01, 1.399999999999999335e-02, 4.661363516193757495e-02, 1.199999999999999956e+00, 1.722603643809275942e-01
5.482809636973348111e-01, 1.399999999999999509e-02, 4.451627948576578064e-02, 1.199999999999999956e+00, 2.765358755368439447e-01
5.287385760297119708e-01, 1.399999999999999856e-02, 4.193283980340875572e-02, 1.199999999999999956e+00, 4.134663504172014781e-01
5.043416560863182019e-01, 1.399999999999999509e-02, 3.899080688524209082e-02, 1.199999999999999956e+00, 5.841612375912467181e-01
4.757776745534084695e-01, 1.399999999999999509e-02, 3.598650726338196298e-02, 1.199999999999999956e+00, 7.836633902842906618e-01
4.447409126971952897e-01, 1.399999999999999509e-02, 3.338139092406371133e-02, 1.199999999999999956e+00, 1.000000000000000000e+00
4.136401960668216748e-01, 1.399999999999999509e-02, 3.169639253478866159e-02, 1.199999999999999956e+00, 1.216336609715709338e+00
3.849206888153166028e-01, 1.399999999999999509e-02, 3.131388151434365968e-02, 1.199999999999999956e+00, 1.415838762408753171e+00
3.603687874413061820e-01, 1.399999999999999509e-02, 3.231473056852866149e-02, 1.199999999999999956e+00, 1.586533649582798411e+00
3.407829467599242657e-01, 1.399999999999999509e-02, 3.449165169576259848e-02, 1.199999999999999956e+00, 1.723464124463156111e+00
3.260960700218936137e-01, 1.399999999999999509e-02, 3.752443290865985909e-02, 1.199999999999999956e+00, 1.827739635619072267e+00
3.157710681286907128e-01, 1.399999999999999509e-02, 4.118083739789057951e-02, 1.199999999999999956e+00, 1.904044169930654951e+00
3.093269308045172306e-01, 1.399999999999999509e-02, 4.545914268076152454e-02, 1.199999999999999956e+00, 1.958266880232111484e+00
3.070926327369895015e-01, 1.399999999999999509e-02, 5.024437090899505631e-02, 1.199999999999999956e+00, 2.000000000000000000e+00
3.093269308045171750e-01, 1.399999999999999335e-02, 5.502959913722845625e-02, 1.199999999999999956e+00, 2.041733119767888294e+00
3.157710681286906573e-01, 1.399999999999999509e-02, 5.930790442009944985e-02, 1.199999999999999956e+00, 2.095955830069344827e+00
3.260960700218935027e-01, 1.399999999999999509e-02, 6.296430890933024660e-02, 1.199999999999999956e+00, 2.172260364380927733e+00
3.407829467599240436e-01, 1.399999999999999509e-02, 6.599709012222748639e-02, 1.199999999999999956e+00, 2.276535875536843889e+00
3.603687874413059600e-01, 1.399999999999999509e-02, 6.817401124946141644e-02, 1.199999999999999956e+00, 2.413466350417201589e+00
3.849206888153164918e-01, 1.399999999999999509e-02, 6.917486030364644600e-02, 1.199999999999999956e+00, 2.584161237591246607e+00
4.136401960668215638e-01, 1.399999999999999509e-02, 6.879234928320142328e-02, 1.199999999999999956e+00, 2.783663390284290440e+00
4.447409126971952342e-01, 1.399999999999999509e-02, 6.710735089392640129e-02, 1.199999999999999956e+00, 3.000000000000000000e+00
4.757776745534085805e-01, 1.399999999999999509e-02, 6.450223455460812882e-02, 1.199999999999999956e+00, 3.216336609715709116e+00
5.043416560863183129e-01, 1.399999999999999509e-02, 6.149793493274801487e-02, 1.199999999999999956e+00, 3.415838762408752949e+00
5.287385760297119708e-01, 1.399999999999999509e-02, 5.855590201458134997e-02, 1.199999999999999956e+00, 3.586533649582798411e+00
5.482809636973347001e-01, 1.399999999999999509e-02, 5.597246233222433892e-02, 1.199999999999999956e+00, 3.723464124463156111e+00
5.631448678290219556e-01, 1.399999999999999509e-02, 5.387510665605253768e-02, 1.199999999999999956e+00, 3.827739635619072267e+00
5.740109392279865164e-01, 1.399999999999999509e-02, 5.226739104004388126e-02, 1.199999999999999956e+00, 3.904044169930655173e+00
5.817265156130018156e-01, 1.399999999999999509e-02, 5.108605082127176678e-02, 1.199999999999999956e+00, 3.958266880232111262e+00
5.870926327369896391e-01, 1.399999999999999509e-02, 5.024437090899505631e-02, 1.199999999999999956e+00, 4.000000000000000000e+00
5.741852654739790784e-01, 2.799999999999999017e-02, 5.048874181799009597e-02, 1.399999999999999911e+00, 0.000000000000000000e+00
5.691979749142910272e-01, 2.799999999999999017e-02, 4.965688394644016124e-02, 1.399999999999999911e+00, 4.173311976788848798e-02
5.620265149784506864e-01, 2.799999999999999017e-02, 4.848926745095191726e-02, 1.399999999999999911e+00, 9.595583006934514658e-02
5.519256733113548918e-01, 2.799999999999998671e-02, 4.690004623605981138e-02, 1.399999999999999911e+00, 1.722603643809275942e-01
5.381066565261656276e-01, 2.799999999999999017e-02, 4.482659418207279867e-02, 1.399999999999999911e+00, 2.765358755368439447e-01
5.199349456945570047e-01, 2.799999999999999711e-02, 4.227245467898448766e-02, 1.399999999999999911e+00, 4.134663504172014781e-01
4.972445306604975634e-01, 2.799999999999999017e-02, 3.936363396501872669e-02, 1.399999999999999911e+00, 5.841612375912467181e-01
4.706719517211775394e-01, 2.799999999999999017e-02, 3.639385464415402505e-02, 1.399999999999999911e+00, 7.836633902842906618e-01
4.417906449079586073e-01, 2.799999999999999017e-02, 3.382113818668281563e-02, 1.399999999999999911e+00, 1.000000000000000000e+00
4.128413004727615743e-01, 2.799999999999999017e-02, 3.216390763547402609e-02, 1.399999999999999911e+00, 1.216336609715709338e+00
3.861037224264487477e-01, 2.799999999999999017e-02, 3.180443151232748705e-02, 1.399999999999999911e+00, 1.415838762408753171e+00
3.632507721771747189e-01, 2.799999999999999017e-02, 3.282565882229565579e-02, 1.399999999999999911e+00, 1.586533649582798411e+00
3.450394792099819585e-01, 2.799999999999999017e-02, 3.502253454351613587e-02, 1.399999999999999911e+00, 1.723464124463156111e+00
3.314231724468519324e-01, 2.799999999999999017e-02, 3.807472536940330332e-02, 1.399999999999999911e+00, 1.827739635619072267e+00
3.219239643619699609e-01, 2.799999999999999017e-02, 4.174095931771065054e-02, 1.399999999999999911e+00, 1.904044169930654951e+00
3.161209381430090670e-01, 2.799999999999999017e-02, 4.596320143416224302e-02, 1.399999999999999911e+00, 1.958266880232111484e+00
3.141852654739790696e-01, 2.799999999999999017e-02, 5.048874181799009597e-02, 1.399999999999999911e+00, 2.000000000000000000e+00
3.161209381430090115e-01, 2.799999999999998671e-02, 5.501428220181786566e-02, 1.399999999999999911e+00, 2.041733119767888294e+00
