# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
4

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,MainWing,0,OTNKYDERGA,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
1.874999999999999778e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.839125244846657736e+00, 0.000000000000000000e+00, -4.984151988386639059e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.787550067035724499e+00, 0.000000000000000000e+00, -1.197902514146777404e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
1.714927817751382477e+00, 0.000000000000000000e+00, -2.149699289917154574e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.615608605000389053e+00, 0.000000000000000000e+00, -3.391175836770573410e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
1.485064282672871050e+00, 0.000000000000000000e+00, -4.920229315314356838e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
1.322145880076949442e+00, 0.000000000000000000e+00, -6.661439828090262583e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
1.131477009833874448e+00, 0.000000000000000000e+00, -8.440163128419524152e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
9.243986366229204332e-01, 0.000000000000000000e+00, -9.985094787041050302e-02, 1.000000000000000000e+00, 1.000000000000000000e+00
7.169922983405188077e-01, 0.000000000000000000e+00, -1.099127757611455536e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
5.255221466622528315e-01, 0.000000000000000000e+00, -1.123648271647709751e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
3.617895276403632066e-01, 0.000000000000000000e+00, -1.067591131364743484e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
2.309666362268150142e-01, 0.000000000000000000e+00, -9.432430554341492135e-02, 1.000000000000000000e+00, 1.723464124463156111e+00
1.324344162875477349e-01, 0.000000000000000000e+00, -7.692416936904707125e-02, 1.000000000000000000e+00, 1.827739635619072267e+00
6.235718827408025938e-02, 0.000000000000000000e+00, -5.585191778174099925e-02, 1.000000000000000000e+00, 1.904044169930654951e+00
1.707275034885077925e-02, 0.000000000000000000e+00, -3.063932316620587154e-02, 1.000000000000000000e+00, 1.958266880232111484e+00
0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 2.000000000000000000e+00
1.707275034885089721e-02, 0.000000000000000000e+00, 3.063932316620598950e-02, 1.000000000000000000e+00, 2.041733119767888294e+00
6.235718827408116838e-02, 0.000000000000000000e+00, 5.585191778174136701e-02, 1.000000000000000000e+00, 2.095955830069344827e+00
